episode,reward,episode_length,epsilon,win
1,21,3057,0.9995,True
2,-19,3642,0.9990002500000001,False
3,19,3692,0.9985007498750001,True
4,-6,5692,0.9980014995000627,False
5,-4,6557,0.9975024987503127,False
6,1,6969,0.9970037475009376,True
7,13,4806,0.9965052456271871,True
8,4,5835,0.9960069930043736,True
9,-7,5772,0.9955089895078715,False
10,-12,4843,0.9950112350131176,False
11,-9,5746,0.9945137293956111,False
12,6,5776,0.9940164725309134,True
13,5,6438,0.993519464294648,True
14,16,4489,0.9930227045625007,True
15,19,3476,0.9925261932102195,True
16,3,6658,0.9920299301136144,True
17,10,5230,0.9915339151485576,True
18,-2,6489,0.9910381481909833,False
19,-7,5620,0.990542629116888,False
20,17,4238,0.9900473578023296,True
21,-3,6579,0.9895523341234285,False
22,19,3452,0.9890575579563669,True
23,8,5992,0.9885630291773887,True
24,-8,6604,0.9880687476628001,False
25,-17,4161,0.9875747132889687,False
26,-6,5430,0.9870809259323243,False
27,14,4188,0.9865873854693582,True
28,-5,6238,0.9860940917766235,False
29,2,6869,0.9856010447307353,True
30,-5,5576,0.98510824420837,False
31,-10,5121,0.9846156900862658,False
32,8,5264,0.9841233822412228,True
33,11,5325,0.9836313205501022,True
34,-10,5864,0.9831395048898272,False
35,8,5751,0.9826479351373822,True
36,3,6946,0.9821566111698136,True
37,-13,4969,0.9816655328642288,False
38,-7,6203,0.9811747000977967,False
39,-15,5162,0.9806841127477479,False
40,16,4364,0.9801937706913741,True
41,11,5077,0.9797036738060285,True
42,-10,5118,0.9792138219691255,False
43,-10,5359,0.978724215058141,False
44,-11,5225,0.978234852950612,False
45,-2,6425,0.9777457355241367,False
46,4,6811,0.9772568626563747,True
47,-7,6000,0.9767682342250465,False
48,1,7162,0.976279850107934,True
49,15,4513,0.9757917101828801,True
50,-5,6302,0.9753038143277888,False
51,7,5909,0.974816162420625,True
52,2,6302,0.9743287543394147,True
53,3,6945,0.973841589962245,True
54,18,4033,0.973354669167264,True
